@relation InstanceResultListener

@attribute Key_Dataset {data_agent,data_keyboard,raw_data_agent,raw_data_keyboard}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-6118439039768244417}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data
data_agent,2,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.624143,3.158959,83.509844,97.261847,0.233613,0,0,?,?,?,?,?,?,0.045,0.001,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
data_agent,2,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.576915,3.101568,83.076042,97.255679,0.229535,0,0,?,?,?,?,?,?,0.045,0,0.046875,0,46.875,0,7942,1920516,215134,?,?,?,?
data_agent,2,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.796032,5.183558,86.307516,98.715153,0.157626,0,0,?,?,?,?,?,?,0.054,0.001,0.046875,0,46.875,0,7950,1920516,215134,?,?,?,?
data_agent,2,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.551344,1.264814,83.826486,85.137018,0.525882,0,0,?,?,?,?,?,?,0.048,0,0.03125,0,31.25,0,7958,1920516,215134,?,?,?,?
data_agent,2,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.632426,4.183515,82.898105,98.041907,0.196633,0,0,?,?,?,?,?,?,0.093,0.001,0.09375,0,93.75,0,7958,1920516,215134,?,?,?,?
data_agent,3,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.626542,3.136616,79.56829,95.864193,0.285929,0,0,?,?,?,?,?,?,0.053,0.001,0.046875,0,46.875,0,7966,1920335,215315,?,?,?,?
data_agent,3,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.518028,1.044979,82.649277,80.137925,0.600665,0,0,?,?,?,?,?,?,0.052,0,0.046875,0,46.875,0,7958,1920335,215315,?,?,?,?
data_agent,3,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.680591,4.256727,83.559904,98.101917,0.193023,0,0,?,?,?,?,?,?,0.059,0,0.0625,0,62.5,0,7926,1920335,215315,?,?,?,?
data_agent,3,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.653996,3.234796,86.836712,98.299002,0.192744,0,0,?,?,?,?,?,?,0.049,0.001,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
data_agent,3,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.572662,1.350645,87.370084,87.501513,0.486903,0,0,?,?,?,?,?,?,0.044,0.001,0.03125,0.015625,31.25,15.625,7958,1920335,215315,?,?,?,?
