@RELATION lunar_lander_filter2

@ATTRIBUTE angle         NUMERIC
@ATTRIBUTE angular_vel   NUMERIC
@ATTRIBUTE left_leg      {0, 1}
@ATTRIBUTE right_leg     {0, 1}
@ATTRIBUTE action        {nothing, left_engine, main_engine, right_engine}

@DATA
-0.0080,-0.0358,0,0,nothing
-0.0098,-0.0358,0,0,nothing
-0.0115,-0.0358,0,0,nothing
-0.0133,-0.0358,0,0,nothing
-0.0151,-0.0358,0,0,nothing
-0.0169,-0.0358,0,0,nothing
-0.0187,-0.0358,0,0,nothing
-0.0205,-0.0358,0,0,nothing
-0.0223,-0.0358,0,0,nothing
-0.0241,-0.0358,0,0,nothing
-0.0259,-0.0358,0,0,nothing
-0.0277,-0.0358,0,0,nothing
-0.0295,-0.0358,0,0,nothing
-0.0308,-0.0271,0,0,main_engine
-0.0330,-0.0432,0,0,main_engine
-0.0354,-0.0493,0,0,main_engine
-0.0387,-0.0652,0,0,main_engine
-0.0420,-0.0652,0,0,nothing
-0.0452,-0.0652,0,0,nothing
-0.0485,-0.0652,0,0,nothing
-0.0518,-0.0652,0,0,nothing
-0.0550,-0.0652,0,0,nothing
-0.0583,-0.0652,0,0,nothing
-0.0615,-0.0652,0,0,nothing
-0.0648,-0.0652,0,0,nothing
-0.0681,-0.0652,0,0,nothing
-0.0713,-0.0652,0,0,nothing
-0.0746,-0.0652,0,0,nothing
-0.0779,-0.0652,0,0,nothing
-0.0811,-0.0652,0,0,nothing
-0.0844,-0.0652,0,0,nothing
-0.0876,-0.0652,0,0,nothing
-0.0909,-0.0652,0,0,nothing
-0.0942,-0.0652,0,0,nothing
-0.0974,-0.0652,0,0,nothing
-0.1007,-0.0652,0,0,nothing
-0.1040,-0.0652,0,0,nothing
-0.1072,-0.0652,0,0,nothing
-0.1105,-0.0652,0,0,nothing
-0.1137,-0.0652,0,0,nothing
-0.1150,-0.0247,0,0,left_engine
-0.1138,0.0238,0,0,left_engine
-0.1105,0.0666,0,0,left_engine
-0.1071,0.0666,0,0,nothing
-0.1038,0.0666,0,0,nothing
-0.1005,0.0666,0,0,nothing
-0.0971,0.0666,0,0,nothing
-0.0938,0.0666,0,0,nothing
-0.0905,0.0666,0,0,nothing
-0.0872,0.0666,0,0,nothing
-0.0838,0.0666,0,0,nothing
-0.0805,0.0666,0,0,nothing
-0.0772,0.0666,0,0,nothing
-0.0738,0.0666,0,0,nothing
-0.0705,0.0666,0,0,nothing
-0.0672,0.0666,0,0,nothing
-0.0614,0.1161,0,0,left_engine
-0.0541,0.1462,0,0,left_engine
-0.0468,0.1462,0,0,nothing
-0.0395,0.1462,0,0,nothing
-0.0341,0.1068,0,0,right_engine
-0.0312,0.0593,0,0,right_engine
-0.0298,0.0275,0,0,right_engine
-0.0307,-0.0187,0,0,right_engine
-0.0333,-0.0520,0,0,right_engine
-0.0382,-0.0981,0,0,right_engine
-0.0448,-0.1318,0,0,right_engine
-0.0536,-0.1756,0,0,right_engine
-0.0644,-0.2171,0,0,right_engine
-0.0753,-0.2171,0,0,nothing
-0.0861,-0.2171,0,0,nothing
-0.0970,-0.2171,0,0,nothing
-0.1079,-0.2171,0,0,nothing
-0.1187,-0.2171,0,0,nothing
-0.1296,-0.2171,0,0,nothing
-0.1404,-0.2171,1,0,nothing
-0.1333,0.1467,0,0,nothing
-0.1073,0.5188,0,0,nothing
-0.0627,0.8915,0,1,nothing
-0.0180,0.8914,0,1,nothing
0.0253,0.8663,0,1,nothing
0.0631,0.7572,0,1,right_engine
0.0944,0.6249,0,1,right_engine
0.0951,-0.1608,0,1,right_engine
0.0042,0.0417,0,0,nothing
0.0063,0.0417,0,0,nothing
0.0084,0.0417,0,0,nothing
0.0105,0.0417,0,0,nothing
0.0126,0.0416,0,0,nothing
0.0146,0.0416,0,0,nothing
0.0167,0.0416,0,0,nothing
0.0188,0.0416,0,0,nothing
0.0209,0.0416,0,0,nothing
0.0230,0.0416,0,0,nothing
0.0250,0.0416,0,0,nothing
0.0271,0.0416,0,0,nothing
0.0292,0.0416,0,0,nothing
0.0313,0.0416,0,0,nothing
0.0334,0.0416,0,0,nothing
0.0354,0.0416,0,0,nothing
0.0375,0.0416,0,0,nothing
0.0396,0.0416,0,0,nothing
0.0417,0.0416,0,0,nothing
0.0437,0.0416,0,0,nothing
0.0458,0.0416,0,0,nothing
0.0479,0.0415,0,0,nothing
0.0500,0.0415,0,0,nothing
0.0521,0.0415,0,0,nothing
0.0541,0.0415,0,0,nothing
0.0562,0.0415,0,0,nothing
0.0583,0.0415,0,0,nothing
0.0604,0.0415,0,0,nothing
0.0624,0.0415,0,0,nothing
0.0645,0.0415,0,0,nothing
0.0666,0.0415,0,0,nothing
0.0687,0.0415,0,0,nothing
0.0707,0.0415,0,0,nothing
0.0728,0.0415,0,0,nothing
0.0749,0.0415,0,0,nothing
0.0770,0.0415,0,0,nothing
0.0791,0.0415,0,0,nothing
0.0811,0.0415,0,0,nothing
0.0832,0.0415,0,0,nothing
0.0853,0.0415,0,0,nothing
0.0874,0.0415,0,0,nothing
0.0894,0.0415,0,0,nothing
0.0915,0.0415,0,0,nothing
0.0936,0.0415,0,0,nothing
0.0957,0.0415,0,0,nothing
0.0977,0.0415,0,0,nothing
0.0998,0.0415,0,0,nothing
0.1019,0.0415,0,0,nothing
0.1040,0.0415,0,0,nothing
0.1060,0.0415,0,0,nothing
0.1081,0.0415,0,0,nothing
0.1102,0.0415,0,0,nothing
0.1123,0.0415,0,0,nothing
0.1144,0.0415,0,0,nothing
0.1164,0.0415,0,0,nothing
0.1185,0.0415,0,0,nothing
0.1206,0.0415,0,0,nothing
0.1227,0.0415,0,0,nothing
0.1247,0.0415,0,0,nothing
0.1268,0.0415,0,0,nothing
0.1289,0.0415,0,0,nothing
0.1310,0.0415,0,0,nothing
0.1330,0.0415,0,0,nothing
0.1351,0.0415,0,0,nothing
0.1372,0.0415,0,0,nothing
0.1393,0.0415,0,0,nothing
0.1413,0.0415,0,0,nothing
0.1434,0.0415,0,0,nothing
0.1455,0.0415,0,0,nothing
0.1476,0.0415,0,0,nothing
0.1497,0.0415,0,0,nothing
0.1517,0.0415,0,0,nothing
