x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.1613944,1.082863,0.6278082,-0.6161663,-0.18263865,-0.14012186,0.0,0.0,1.094824,0.879661,1.000000,1.422841,0.6161663,0.025591668,0.10132473,-0.6672237,0.000000,0,0.280347
0.16760273,1.0689216,0.6278071,-0.6204903,-0.18964471,-0.14012131,0.0,0.0,1.081982,0.882695,1.000000,1.415267,0.6204903,0.026573265,0.10522218,-0.66325545,0.000000,0,0.282435
0.17381115,1.0548836,0.62780595,-0.62481433,-0.19665073,-0.14012082,0.0,0.0,1.069107,0.885739,1.000000,1.407495,0.62481433,0.02755486,0.109119676,-0.6591064,0.000000,0,0.284274
0.18001957,1.0407492,0.62780476,-0.6291384,-0.20365675,-0.14012036,0.0,0.0,1.056204,0.888794,1.000000,1.399520,0.6291384,0.028536456,0.11301714,-0.6547753,0.000000,0,0.285847
0.18622819,1.0265181,0.6278035,-0.6334625,-0.21066274,-0.14011988,0.0,0.0,1.043274,0.891859,1.000000,1.391331,0.6334625,0.029518038,0.116914704,-0.6502607,0.000000,0,0.287124
0.19243689,1.0121906,0.62780225,-0.6377865,-0.2176687,-0.14011912,0.0,0.0,1.030321,0.894934,1.000000,1.382919,0.6377865,0.030499546,0.12081231,-0.6455615,0.000000,0,0.288082
0.19864559,0.9977666,0.62780094,-0.6421105,-0.22467466,-0.14011855,0.0,0.0,1.017349,0.898020,1.000000,1.374276,0.6421105,0.031481087,0.12470989,-0.64067644,0.000000,0,0.288744
0.20485458,0.9832459,0.6277996,-0.6464345,-0.23168054,-0.14011782,0.0,0.0,1.004359,0.901116,1.000000,1.365390,0.6464345,0.032462575,0.12860762,-0.6356041,0.000000,0,0.289034
0.21106347,0.96862864,0.6277982,-0.6507585,-0.23868638,-0.14011724,0.0,0.0,0.991357,0.904222,1.000000,1.356251,0.6507585,0.033444077,0.13250527,-0.6303433,0.000000,0,0.288949
0.21727248,0.9539148,0.62779677,-0.6550826,-0.24569222,-0.1401168,0.0,0.0,0.978346,0.907338,1.000000,1.346848,0.6550826,0.03442561,0.13640296,-0.624893,0.000000,0,0.288493
0.22348166,0.9391043,0.6277953,-0.6594066,-0.25269803,-0.14011623,0.0,0.0,0.965329,0.910464,1.000000,1.337169,0.6594066,0.035407096,0.14030072,-0.6192516,0.000000,2,3.243913
0.22976322,0.92547,0.6356604,-0.6072888,-0.26036042,-0.1532476,0.0,0.0,0.953565,0.879127,1.000000,1.327450,0.6072888,0.039899606,0.14605139,-0.5620275,0.000000,2,2.624329
0.23609018,0.9128646,0.64087105,-0.561714,-0.26871255,-0.16704234,0.0,0.0,0.942900,0.852196,1.000000,1.317716,0.561714,0.044886373,0.15130337,-0.5127688,0.000000,2,0.691634
0.24258423,0.90099907,0.65750253,-0.5288622,-0.27700418,-0.16583255,0.0,0.0,0.933084,0.843804,1.000000,1.307794,0.5288622,0.04593631,0.15949975,-0.47650433,0.000000,2,0.504588
0.24932165,0.8901315,0.6816608,-0.48453322,-0.28513566,-0.16262938,0.0,0.0,0.924389,0.836322,0.000000,1.297699,0.48453322,0.046371434,0.1699528,-0.43129826,0.000000,2,-0.335860
0.25642425,0.8805047,0.7177025,-0.42933273,-0.29280624,-0.15341154,0.0,0.0,0.917083,0.836315,0.000000,1.287410,0.42933273,0.044919856,0.18403633,-0.3780295,0.000000,2,0.737677
0.26367846,0.8720983,0.73334086,-0.37522963,-0.30097666,-0.16340826,0.0,0.0,0.911088,0.823763,0.000000,1.277185,0.37522963,0.049182076,0.19336618,-0.32723713,0.000000,2,0.744067
0.27090043,0.86429775,0.7308568,-0.34851024,-0.30993152,-0.17909677,0.0,0.0,0.905758,0.809698,0.000000,1.267061,0.34851024,0.055507734,0.19798942,-0.3012166,0.000000,2,-1.226544
0.27836055,0.85745114,0.75458395,-0.30615127,-0.31882516,-0.1778731,0.0,0.0,0.901503,0.814325,0.000000,1.256893,0.30615127,0.056710422,0.2100464,-0.26250976,0.000000,2,-2.094717
0.2860945,0.85141325,0.7816339,-0.27018788,-0.32739052,-0.171308,0.0,0.0,0.898195,0.827015,0.000000,1.246627,0.27018788,0.056084614,0.22362116,-0.23004155,0.000000,2,-1.660884
0.2940089,0.8460852,0.7996679,-0.23869231,-0.33596486,-0.17148754,0.0,0.0,0.895713,0.834531,0.000000,1.236356,0.23869231,0.057613786,0.2351095,-0.20195404,0.000000,2,-1.236470
