x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
0.35316658,0.4063664,-0.18024631,-0.20412369,0.43384534,-0.29446465,0.0,0.0,0
0.35122862,0.40158334,-0.18023458,-0.20846023,0.41912234,-0.29446024,0.0,0.0,0
0.34928972,0.39670575,-0.18022321,-0.21279688,0.40439954,-0.29445583,0.0,0.0,0
0.34735012,0.39173365,-0.18021221,-0.21713366,0.389677,-0.29445142,0.0,0.0,0
0.34540978,0.3866669,-0.18020158,-0.22147053,0.37495464,-0.294447,0.0,0.0,0
0.34346884,0.3815057,-0.18019134,-0.2258075,0.36023247,-0.2944426,0.0,0.0,0
0.34152716,0.37625,-0.18018146,-0.23014459,0.34551057,-0.29443818,0.0,0.0,0
0.33958492,0.37089974,-0.18017195,-0.23448175,0.33078885,-0.29443377,0.0,0.0,0
0.337642,0.36545506,-0.18016283,-0.23881902,0.3160674,-0.29442936,0.0,0.0,0
0.33569843,0.35991597,-0.1801541,-0.24315636,0.30134615,-0.29442498,0.0,0.0,0
0.33375436,0.3542824,-0.18014576,-0.24749379,0.28662512,-0.29442057,0.0,0.0,0
0.3318096,0.34855443,-0.18013778,-0.25183132,0.27190432,-0.29441613,0.0,0.0,0
0.3298645,0.34273195,-0.18013021,-0.2561689,0.25718373,-0.29441172,0.0,0.0,0
0.32791892,0.33681515,-0.18012303,-0.26050654,0.24246335,-0.2944073,0.0,0.0,0
0.32597274,0.33080378,-0.18011622,-0.26484427,0.22774322,-0.2944029,0.0,0.0,0
0.3240262,0.32469815,-0.18010983,-0.2691821,0.2130233,-0.2943985,0.0,0.0,0
0.32207936,0.31849802,-0.18010381,-0.2735199,0.19830358,-0.29439408,0.0,0.0,2
0.319928,0.31270152,-0.19988468,-0.25565252,0.1829617,-0.30683738,0.0,0.0,2
0.31745425,0.30824405,-0.2314182,-0.19621915,0.16696008,-0.32003266,0.0,0.0,2
0.31491908,0.30445564,-0.23761895,-0.16666533,0.15107149,-0.3177719,0.0,0.0,2
0.31240255,0.30201054,-0.23648953,-0.1072006,0.13593496,-0.30273065,0.0,0.0,0
0.30988568,0.2994713,-0.23648536,-0.11153975,0.12079864,-0.30272594,0.0,0.0,0
0.30736858,0.2968378,-0.23648164,-0.11587894,0.105662584,-0.30272117,0.0,0.0,0
0.30485123,0.29411018,-0.23647837,-0.120218165,0.09052675,-0.3027164,0.0,0.0,0
0.30233383,0.2912885,-0.2364755,-0.12455741,0.07539116,-0.3027116,0.0,0.0,0
0.29981613,0.2883726,-0.23647308,-0.1288967,0.060255818,-0.30270684,0.0,0.0,0
0.29729834,0.2853626,-0.2364711,-0.133236,0.04512072,-0.30270204,0.0,0.0,0
0.29478043,0.2822584,-0.23646955,-0.13757534,0.029985858,-0.30269724,0.0,0.0,0
0.29226246,0.27905998,-0.23646846,-0.14191468,0.014851248,-0.30269244,0.0,0.0,0
0.28974447,0.27576736,-0.23646781,-0.14625402,-0.0002831387,-0.30268767,0.0,0.0,0
0.2872265,0.2723807,-0.2364676,-0.15059334,-0.015417295,-0.30268288,0.0,0.0,0
0.2847086,0.26889983,-0.2364678,-0.1549327,-0.0305512,-0.3026781,0.0,0.0,0
0.2821907,0.26532477,-0.23646843,-0.15927203,-0.04568485,-0.3026733,0.0,0.0,1
0.27960387,0.26164886,-0.24512477,-0.16384251,-0.059090853,-0.26811975,0.0,0.0,1
0.27694884,0.2578899,-0.25368702,-0.16757011,-0.07077165,-0.23361604,0.0,0.0,1
0.2742117,0.25404948,-0.26402372,-0.17117064,-0.080368176,-0.19193068,0.0,0.0,1
0.27137795,0.25012645,-0.2761429,-0.17476326,-0.0875234,-0.14310431,0.0,0.0,0
0.2685443,0.24610685,-0.27614346,-0.17908758,-0.09467857,-0.14310381,0.0,0.0,0
0.26571074,0.24199076,-0.27614403,-0.1834119,-0.10183374,-0.14310333,0.0,0.0,0
0.26287717,0.23777813,-0.27614468,-0.1877362,-0.10898888,-0.14310281,0.0,0.0,0
0.2600437,0.233469,-0.27614537,-0.1920605,-0.116143994,-0.14310229,0.0,0.0,1
0.25712252,0.22907904,-0.28717488,-0.19550379,-0.12106678,-0.09845574,0.0,0.0,1
0.2541051,0.22459804,-0.29921713,-0.19936283,-0.12357474,-0.05015903,0.0,0.0,1
0.25099164,0.22003327,-0.31127018,-0.20288438,-0.123650245,-0.0015100928,0.0,0.0,0
0.24787816,0.21537124,-0.31127024,-0.20720437,-0.12372576,-0.0015101655,0.0,0.0,0
0.24476472,0.21061207,-0.31127024,-0.21152438,-0.123801276,-0.0015101808,0.0,0.0,0
