# a0	a1	a2	a3
    -14.5574	    -13.3086	    -12.5566	    -14.0768
      0.0000	     -2.6287	      0.2267	      0.0000
    -40.8877	    -43.7448	    -36.3091	    -39.6960
    -15.0975	      7.6405	    -10.8149	    -23.0914
     -3.8350	     -1.7916	     -1.0382	      0.0000
    -12.7634	     -6.6300	    -12.5037	    -11.5560
     -1.3185	      0.0000	      0.0000	      0.0000
    -84.5307	    -41.4796	    -76.1071	    -81.1153
    -46.7882	      0.6993	    -59.2381	    -36.5323
    -53.4447	    -45.2351	    -47.8705	    -23.7828
    -68.5851	    -66.5735	    -65.0136	    -69.8061
    -23.2871	    -17.6443	    -19.1345	    -17.7533
    -23.2075	    -21.9682	    -19.0198	    -18.0334
     -2.7618	      6.3947	    -13.6550	     -5.7745
    -20.4044	    -16.6565	     -3.7122	     -8.0842
     -1.1378	     10.5423	     -5.8588	     -1.8178
    -10.5609	    -10.1115	    -13.1724	    -10.0409
    -27.4433	    -24.2758	    -18.9805	    -31.6042
    -14.3521	      5.6211	    -16.7911	    -15.5867
    -12.1078	    -11.9213	    -14.9524	    -12.9427
    -20.8254	    -15.0157	    -25.0646	    -20.6284
    -17.3407	    -15.9160	    -17.6589	    -16.7761
    -43.8236	    -13.6520	    -49.0326	    -48.8418
    -16.4589	     10.0300	    -18.0287	    -22.1506
    -17.2652	     -3.4623	    -17.6134	    -18.5512
    -45.8840	     -6.3196	    -46.1722	    -47.9779
    -15.7367	    -10.1796	    -20.8440	    -15.6913
    -29.5885	     -3.3841	    -33.1496	    -28.7852
    -29.9823	      8.2660	    -27.4917	    -30.0728
     -5.9298	      6.6078	     -6.2575	     -9.4275
    -14.0762	     -4.1949	    -17.6281	    -14.2924
    -17.0388	     -4.3886	    -23.9399	    -24.6971
    -34.8304	    -19.3543	    -49.9260	    -31.6710
    -26.2261	      3.3207	    -66.3643	    -28.9058
    -43.0635	      3.5366	    -44.1557	    -45.0210
    -62.4933	    -23.5137	    -68.5802	    -58.9797
    -41.7743	    -11.4385	    -46.5666	    -38.1103
    -16.2665	    -12.4220	    -19.3028	    -15.3940
     -6.1422	    -21.1336	    -21.7953	    -16.3929
    -13.4637	     -0.6806	    -11.7615	     -8.2501
    -23.8524	    -28.5779	    -27.0479	    -25.0215
    -34.6726	    -21.2725	    -31.3035	    -26.8017
    -11.6136	    -11.6789	    -11.8987	    -12.5309
    -14.2153	      3.7477	    -17.9022	    -14.0308
    -15.6408	    -11.6667	    -15.0447	    -16.2278
    -24.3921	    -15.9933	    -24.6962	    -24.7022
    -33.3374	    -17.8663	    -37.1444	    -33.6269
    -24.5548	    -16.7908	    -29.5148	    -25.1963
    -25.4131	      1.3667	    -27.8229	    -25.9077
    -19.9357	     -8.4335	    -24.9262	    -19.3769
    -21.6873	      1.2071	    -21.8750	    -21.6506
    -48.8950	    -16.5208	    -51.6978	    -54.9333
    -31.4429	    -16.8379	    -33.2959	    -31.4068
    -19.8552	     -1.6782	    -20.2615	    -20.9236
    -17.2981	     -3.7130	    -30.9211	    -19.8381
    -21.5255	     10.9788	    -38.4992	    -25.5755
    -51.7741	     -8.3285	    -51.9152	    -49.1472
    -11.3749	     -1.4907	    -31.8393	     -8.8712
    -31.2809	     -6.4701	    -31.8027	    -31.7491
    -26.5144	     -7.5333	    -44.5501	    -26.3504
    -44.7856	      8.5814	    -51.0934	    -38.8317
    -47.8532	     -4.8684	    -79.1330	    -59.0729
    -13.0852	    -12.0312	    -12.4367	    -11.7024
     -0.1958	     -2.2460	     -2.1242	      0.0000
     -1.8048	     -1.1494	      0.0000	     -2.1765
     -2.9146	     -3.1587	     -1.5838	     -1.8745
      0.0000	      0.0000	      0.0000	      0.0000
    -43.1302	    -30.2187	    -28.6627	    -30.8830
    -12.6732	    -12.1096	    -12.2995	    -12.2036
     -4.7841	     -4.5760	     -5.3285	     -5.6343
    -17.7488	    -17.7710	    -16.9036	    -17.2122
     -5.5794	     -4.1683	     -4.7809	     -3.8773
    -63.0940	    -69.9367	    -54.5671	    -63.6815
    -17.1944	    -15.6089	    -17.9928	    -16.6626
    -13.6427	    -14.7788	    -15.4675	    -13.7213
    -34.4793	    -33.8246	    -34.0444	    -35.4102
    -11.9192	    -12.1902	    -12.9518	    -12.1097
    -63.5387	    -64.3343	    -61.8149	    -64.7088
    -48.4951	    -17.0658	    -45.5220	    -46.8341
    -31.1826	    -29.2537	    -31.4822	    -31.2671
    -24.5008	    -22.1491	    -24.9289	    -24.0563
    -11.2959	    -11.5664	    -14.3006	    -15.1987
   -140.8419	    -63.6372	   -158.6488	   -148.8891
    -74.6635	    -25.1242	   -110.2768	    -79.2344
   -103.4847	    -29.7604	   -101.1403	   -104.1597
   -151.3766	    -69.8717	   -136.0099	   -132.9446
   -126.8925	   -125.0345	   -116.5525	   -125.8454
    -16.5899	     -1.8241	    -19.5319	    -17.2788
     -6.6471	      5.7876	    -15.1186	     -6.5218
     -1.0753	     -1.2920	     -4.6457	     -2.1402
     -5.6850	      0.7616	     -9.6142	     -6.8905
    -19.0843	      0.4605	    -16.7771	    -12.9325
    -28.1324	     -3.0632	    -34.7551	    -31.0890
    -16.1420	      3.7293	    -22.8690	    -16.9661
    -13.6566	    -11.0196	    -16.7219	    -13.2475
    -20.5587	     -2.4342	    -27.3305	    -22.2741
    -27.6269	    -27.7339	    -31.3478	    -31.5195
    -50.1617	    -11.1865	    -56.5207	    -45.9079
    -23.7815	     -3.5367	    -27.7108	    -22.8764
    -20.6505	     -1.3359	    -26.0327	    -21.7840
    -32.5598	    -13.3255	    -38.1045	    -38.1317
    -33.7220	    -15.4557	    -38.6980	    -32.7903
    -64.2097	    -34.5591	    -68.9860	    -68.0927
    -41.3755	    -10.8160	    -45.6983	    -44.8415
    -26.9287	    -20.5649	    -24.4867	    -26.0922
    -42.8309	    -20.6845	    -46.9807	    -44.5149
    -32.1860	    -14.9015	    -37.3749	    -38.7016
    -99.7734	    -57.6999	   -110.9462	    -98.3811
    -80.3119	    -28.9074	    -99.2796	    -91.9344
    -81.2294	    -20.1706	   -102.8724	    -88.0052
   -124.8144	    -29.3667	   -135.3907	   -121.1528
   -103.3077	    -52.2245	   -125.9881	    -93.6024
     -5.4191	     -3.8765	    -13.2579	     -4.2691
     -5.2472	      2.6567	    -14.6699	     -6.1514
     -4.0603	     -2.7363	     -7.4546	     -5.4167
     -9.6451	     -7.8949	    -10.1333	    -11.2023
    -19.4504	    -10.5860	    -23.2062	    -17.4063
    -12.2722	     -0.6460	    -21.0133	    -12.8190
    -13.9085	      3.3503	    -16.6197	    -14.3611
    -13.5777	     -5.7063	    -14.3893	    -12.9644
    -19.6055	     -4.5445	    -25.4160	    -20.3361
    -37.1963	    -10.0250	    -38.8320	    -38.8221
    -28.6403	    -13.4547	    -34.6772	    -27.5305
    -15.3274	     -2.4477	    -18.9774	    -17.1515
    -10.0904	     -2.3061	    -19.8307	    -15.5035
    -29.5568	    -11.6376	    -28.9853	    -27.6129
    -66.4813	    -16.7790	    -59.6755	    -64.4387
    -37.9563	    -32.0234	    -40.4287	    -41.8520
    -32.9818	    -23.1472	    -37.6135	    -31.8088
    -20.6325	    -15.5242	    -35.2080	    -22.2505
    -47.9384	    -34.4437	    -49.2674	    -49.5936
