# a0	a1	a2	a3
    -16.7940	      1.3661	    -31.8591	    -20.4933
    -14.8338	      1.2084	    -43.8043	    -14.0978
    -25.5869	     19.6470	    -41.0415	    -14.7346
    -21.0035	     21.4323	    -39.7065	    -16.0986
    -15.0700	     10.4465	    -37.4088	    -30.4871
    -33.9068	      2.0362	    -59.5399	    -39.2621
    -30.8878	    -37.9882	    -23.1651	    -22.6661
     -3.8464	    -31.0541	    -29.3622	    -30.8854
    -27.7881	     11.4630	    -28.8854	    -38.0265
    -23.8096	    -32.1233	    -42.0513	    -39.4393
    -34.9784	    -34.8067	    -32.3555	    -49.2936
    -11.4065	      7.8096	    -14.9991	    -14.1065
    -21.3833	     15.8687	    -26.7149	    -22.0131
    -15.6020	      6.9078	    -17.1425	    -17.7926
    -32.1316	      8.1757	    -32.7807	    -33.2372
    -41.2561	    -16.7397	    -54.4341	    -49.9496
    -27.6515	     12.0535	    -40.3688	    -37.2790
    -21.2109	     22.3314	    -20.4175	    -19.8006
    -15.5648	     -0.7009	    -17.6519	    -18.5170
    -21.8016	     17.2046	    -22.6280	    -23.8486
    -82.6052	    -69.2450	    -45.2917	    -60.0880
    -26.1110	     10.8251	    -32.5381	    -26.1968
    -17.0834	     26.3076	    -26.3185	    -16.7522
    -14.7549	     11.1318	    -15.9981	    -17.5274
    -19.3871	      3.9025	    -31.0058	    -27.6689
    -51.4792	     -2.0642	    -62.1658	    -79.5205
    -29.1201	    -13.7049	    -35.4216	    -32.0823
    -34.7817	     -2.0431	    -33.4027	    -33.8718
    -27.3406	     21.8410	    -46.6154	    -30.4502
    -44.0481	     28.3234	    -47.1568	    -41.1760
    -49.1688	     -7.8789	    -95.0994	    -56.3500
    -22.7691	    -23.9015	    -11.9100	    -24.3674
     -5.0955	     -5.3687	     -3.5556	      0.7191
     -0.7897	     -1.1963	     -1.8814	     -1.9710
    -12.5643	      0.8627	     -9.4353	     -8.5943
      0.0000	      0.0000	      0.0000	      0.0000
    -27.4512	    -16.1160	    -29.3874	    -41.9070
    -22.7386	    -14.2356	    -23.7256	    -22.4652
    -18.8416	     -4.3193	    -14.1196	    -16.3592
    -19.2959	     -5.8631	    -19.0631	    -18.5430
    -12.0097	    -13.0711	    -10.2232	    -10.5433
    -55.7173	    -57.7194	    -46.5535	    -55.7870
    -34.9349	     -5.5120	    -34.8483	    -33.7251
    -21.9212	    -20.5942	    -22.5991	    -24.1929
    -21.4127	    -21.7947	    -23.2479	    -17.4631
     -9.6329	     -9.9529	    -13.0387	     -9.2475
    -56.2997	    -57.6679	    -27.4468	    -56.4757
    -46.3299	    -44.9625	    -13.3302	    -35.2024
    -27.7550	    -28.6029	    -18.7283	    -26.5966
    -40.0417	    -40.8287	    -39.5551	    -38.9942
    -10.2492	    -10.5410	    -13.2856	     -9.5954
    -98.0130	    -50.9511	    -92.1279	   -105.7112
    -49.0965	    -20.6332	    -53.7622	    -59.1549
   -114.0610	    -25.0696	   -114.8204	    -98.1370
   -140.3331	   -140.1211	   -117.1569	   -143.5720
   -133.1855	   -130.4289	   -136.6928	   -135.0154
    -23.1217	      1.8813	    -30.9402	    -26.7650
      2.2532	     20.9049	    -16.8192	    -10.4818
     -9.8575	     16.6002	    -14.1723	    -11.4708
    -18.2369	     15.9496	    -31.7247	    -20.7831
    -12.1037	      1.9081	    -34.4268	    -10.9945
    -14.9112	      5.8577	    -27.9993	    -22.1195
    -29.7219	     18.4535	    -45.1331	    -38.6622
    -22.5578	      8.3707	    -25.1628	    -22.6715
    -15.7099	      6.6234	    -29.9153	    -19.0445
    -24.2298	      1.2458	    -34.1718	    -25.1025
    -47.8743	      4.0948	    -52.9262	    -46.2733
     -8.0585	      9.1753	    -23.6254	    -17.6631
    -36.5146	    -19.3234	    -36.7317	    -39.0370
    -42.9042	     12.6598	    -52.8735	    -50.8615
    -20.2044	     -0.7174	    -34.6528	    -21.1050
    -33.0810	    -15.8648	    -57.3576	    -42.2467
    -25.0911	    -13.0619	    -49.1756	    -31.1390
    -28.3462	     -1.4968	    -39.4677	    -34.4402
    -57.8014	    -20.1562	    -61.3992	    -60.1194
    -47.5493	    -20.5188	    -50.2756	    -47.2027
   -118.3294	    -16.7918	    -98.3716	    -96.0125
    -44.9950	     -8.1183	    -66.9198	    -52.1402
    -74.8672	     -6.2638	    -91.3294	    -78.0523
    -89.6573	    -89.5947	    -79.1775	    -87.7575
   -137.8817	   -137.7237	   -131.1799	   -138.3823
     -1.7903	      6.7307	      0.0000	      0.0000
    -13.9454	     17.5174	    -11.8859	    -11.8137
     -8.6693	      8.6013	     -7.5678	     -7.8025
    -22.8747	      3.6993	    -26.0988	    -24.4491
     -6.8133	     -3.0780	    -40.2746	     -7.9512
     -1.9757	     10.7050	      0.0000	      0.0000
    -38.6057	      8.5921	    -41.6199	    -41.8883
    -19.8551	     10.7589	    -21.4916	    -18.4262
    -37.1959	      6.2097	    -47.7076	    -38.6005
    -48.0655	     -5.5184	    -52.4377	    -40.6891
    -17.2295	      8.6132	    -19.7355	    -20.6394
    -25.3891	     18.0867	    -31.5632	    -21.1828
    -35.4817	     -8.4110	    -36.8769	    -34.6481
    -20.5222	     16.2285	    -41.9186	    -25.4404
    -62.0391	    -30.5380	    -53.1497	    -48.9563
    -45.5550	     -0.1235	    -54.9769	    -55.2496
    -35.6009	      9.5706	    -26.7897	    -40.7129
    -20.6284	      1.8766	    -52.6515	    -11.2069
    -32.5855	    -30.1429	    -30.1039	    -32.7363
    -43.6751	    -18.9006	    -53.8800	    -58.8191
    -92.9118	    -44.8591	    -91.3525	    -93.8330
    -59.0246	    -11.3616	    -69.6057	    -71.3815
    -66.2698	      0.2391	    -80.1379	    -59.4013
    -51.3502	      0.0089	    -73.6279	    -40.5812
    -91.1352	    -43.3059	   -123.7908	   -102.9904
     -0.1827	      0.0000	      0.0000	      0.0000
    -11.4206	      0.0000	      0.0000	      0.0000
      4.1947	      0.0000	      0.0000	      0.0000
      8.7521	      0.0000	      0.0000	      0.0000
      0.0830	      0.0000	      0.0000	      0.0000
     -1.5285	     -6.0732	      4.4069	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -3.9635	     -3.0725	      7.7694	      0.0000
     -3.4747	     -5.1118	      0.0000	      0.0000
     -3.2074	     -0.5398	      7.8209	     -0.7255
    -17.0506	     -0.5140	    -20.0000	    -16.0824
     -1.1278	     18.8059	      0.0000	      0.0000
     -4.2461	     -0.9019	      2.5705	      0.0000
     -4.5585	     -0.1650	     12.9015	      0.0000
     -7.4802	      0.0000	      0.0000	      0.0000
     -7.2485	      2.1507	     -0.0354	     -9.4446
      1.7094	     29.3414	      4.5786	      0.0000
     11.2809	      0.0000	      0.0000	      0.0000
     -1.7195	      0.0000	      0.0000	      0.0000
     -1.3123	     -2.1268	      1.1069	      0.0000
    -10.9033	     -0.2221	     -2.8447	      8.5621
     -1.2985	     -1.4703	     10.8596	     -1.7018
     -5.6969	      4.3707	     27.9145	     -4.1742
     -5.2510	     -5.8377	    -11.8332	     -2.1660
      0.0000	      0.0000	     10.0015	      0.0000
    -11.7324	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     27.0119	      0.0000	      0.0000	      0.0000
     14.1961	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -5.2144	     -1.8833	      8.9906	      0.0000
      0.6986	      0.0000	     24.5772	      0.0000
      0.0000	      0.0000	     41.8008	      0.0000
     -3.6480	     25.7843	      0.0000	     -5.7833
      0.0000	      0.0000	      0.0000	      0.0000
     -5.9862	     -1.0010	     21.2110	     -7.1285
     -4.5240	     37.1165	      0.0000	     -5.4596
     -1.8772	     48.1009	      0.0000	      0.0000
      3.7058	     33.6674	     14.0570	      0.0000
     -0.7339	     -0.0664	     18.1810	      0.0000
     -5.2790	     -0.2585	     29.4640	      0.0000
     -1.5578	     28.7738	      0.0000	      4.9729
     23.2578	     -0.6131	     58.9663	     10.3225
     -1.9621	     21.1656	      0.0000	     -1.1846
      3.3153	      3.8775	      0.0000	      0.0000
     -3.7612	     -4.1341	     38.4413	    -22.9357
      2.2136	      7.9173	     45.8248	     12.8326
     -1.5994	      3.2091	     39.1739	      0.0000
      0.0000	      0.0000	     46.6239	     -6.3015
     -3.5082	    -10.2033	     17.3847	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -2.4057	     -5.3132	     12.2969	      0.0000
